"Project","Package","Hits","Marker"
"PoWatch.Api.csproj","Microsoft.AspNetCore.Components.WebAssembly.Server","35",""
"PoWatch.Api.csproj","Microsoft.AspNetCore.OpenApi","6",""
"PoWatch.Api.csproj","Microsoft.OpenApi","6",""
"PoWatch.Api.csproj","Microsoft.AspNetCore.Authentication.OpenIdConnect","6",""
"PoWatch.Api.csproj","Microsoft.Extensions.Caching.Hybrid","5",""
"PoWatch.Api.csproj","Azure.Monitor.OpenTelemetry.Exporter","8",""
"PoWatch.Api.csproj","OpenTelemetry.Api","61",""
"PoWatch.Api.csproj","OpenTelemetry.Exporter.Console","5",""
"PoWatch.Api.csproj","OpenTelemetry.Exporter.OpenTelemetryProtocol","0","SUSPECT"
"PoWatch.Api.csproj","OpenTelemetry.Extensions.Hosting","6",""
"PoWatch.Api.csproj","OpenTelemetry.Instrumentation.AspNetCore","27",""
"PoWatch.Api.csproj","Scalar.AspNetCore","27",""
"PoWatch.Api.csproj","Serilog.AspNetCore","27",""
"PoWatch.Api.csproj","Serilog.Sinks.ApplicationInsights","2",""
"PoWatch.Api.csproj","Serilog.Sinks.Console","5",""
"PoWatch.Api.csproj","Serilog.Sinks.File","19",""
"PoWatch.Api.csproj","Serilog.Enrichers.Environment","18",""
"PoWatch.Api.csproj","Serilog.Enrichers.Thread","6",""
"PoWatch.Api.csproj","Azure.Identity","38",""
"PoWatch.Api.csproj","Azure.Security.KeyVault.Secrets","10",""
"PoWatch.Api.csproj","Azure.Extensions.AspNetCore.Configuration.Secrets","10",""
"PoWatch.Api.csproj","FluentValidation","0","SUSPECT"
"PoWatch.Api.csproj","QuestPDF","6",""
"PoWatch.Application.csproj","Microsoft.Extensions.DependencyInjection.Abstractions","0","SUSPECT"
"PoWatch.Application.csproj","Microsoft.Extensions.Logging.Abstractions","0","SUSPECT"
"PoWatch.Application.csproj","Microsoft.Extensions.Options","45",""
"PoWatch.Client.csproj","Microsoft.AspNetCore.Components.WebAssembly","2",""
"PoWatch.Client.csproj","Microsoft.AspNetCore.Components.WebAssembly.DevServer","0","SUSPECT"
"PoWatch.Client.csproj","Microsoft.AspNetCore.Components.Authorization","3",""
"PoWatch.Client.csproj","Radzen.Blazor","0","SUSPECT"
"PoWatch.Infrastructure.csproj","Azure.Data.Tables","20",""
"PoWatch.Infrastructure.csproj","Azure.Identity","26",""
"PoWatch.Infrastructure.csproj","Azure.Storage.Blobs","30",""
"PoWatch.Infrastructure.csproj","Microsoft.Extensions.DependencyInjection.Abstractions","1",""
"PoWatch.Infrastructure.csproj","Microsoft.Extensions.Http","11",""
"PoWatch.Infrastructure.csproj","Microsoft.Extensions.Http.Resilience","8",""
"PoWatch.Infrastructure.csproj","Polly","5",""
"PoWatch.E2EAPI.csproj","coverlet.collector","0","SUSPECT"
"PoWatch.E2EAPI.csproj","Microsoft.AspNetCore.Mvc.Testing","2",""
"PoWatch.E2EAPI.csproj","Microsoft.NET.Test.Sdk","0","SUSPECT"
"PoWatch.E2EAPI.csproj","Testcontainers.Azurite","6",""
"PoWatch.E2EAPI.csproj","xunit","1",""
"PoWatch.E2EAPI.csproj","xunit.runner.visualstudio","0","SUSPECT"
"PoWatch.E2EUI.csproj","coverlet.collector","0","SUSPECT"
"PoWatch.E2EUI.csproj","Microsoft.NET.Test.Sdk","0","SUSPECT"
"PoWatch.E2EUI.csproj","Microsoft.Playwright","7",""
"PoWatch.E2EUI.csproj","xunit","1",""
"PoWatch.E2EUI.csproj","xunit.runner.visualstudio","0","SUSPECT"
"PoWatch.IntegrationTests.csproj","coverlet.collector","0","SUSPECT"
"PoWatch.IntegrationTests.csproj","Microsoft.AspNetCore.Mvc.Testing","1",""
"PoWatch.IntegrationTests.csproj","Microsoft.Extensions.DependencyInjection","0","SUSPECT"
"PoWatch.IntegrationTests.csproj","Microsoft.NET.Test.Sdk","0","SUSPECT"
"PoWatch.IntegrationTests.csproj","Testcontainers.Azurite","25",""
"PoWatch.IntegrationTests.csproj","xunit","1",""
"PoWatch.IntegrationTests.csproj","xunit.runner.visualstudio","0","SUSPECT"
"PoWatch.UnitTests.csproj","coverlet.collector","0","SUSPECT"
"PoWatch.UnitTests.csproj","Microsoft.Extensions.DependencyInjection","2",""
"PoWatch.UnitTests.csproj","Microsoft.NET.Test.Sdk","0","SUSPECT"
"PoWatch.UnitTests.csproj","xunit","1",""
"PoWatch.UnitTests.csproj","xunit.runner.visualstudio","0","SUSPECT"
